orb0,orb1,orb2,orb3,orb4,orb5,orb6,orb7,orb8,orb9,orb10,orb11,orb12,orb13,orb14,orb15,orb16,orb17,orb18,orb19,orb20,orb21,orb22,orb23,orb24,orb25,orb26,orb27,orb28,orb29,prev,curr,score
5,4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,4,5,4,5,4,5,4,4,4,5,4,5,5,4,8,2,5200
2,4,1,6,5,4,4,2,5,2,2,4,5,4,5,1,2,4,5,1,4,2,3,1,3,5,1,3,4,1,2,1,5150
2,2,3,2,2,3,2,2,3,2,2,3,2,3,2,2,3,2,3,3,2,3,3,3,2,2,3,3,2,3,22,16,8250
1,1,2,1,3,3,2,4,1,1,6,2,3,3,2,1,2,2,3,4,1,6,6,3,1,1,2,6,5,4,-1,8,7050
1,1,4,2,1,4,1,1,2,4,6,2,6,3,2,1,2,1,3,1,3,6,4,6,3,1,1,6,3,1,24,18,6200
2,3,2,2,5,5,2,5,6,4,2,1,4,6,1,1,5,2,2,6,5,1,1,1,6,2,5,1,6,6,7,8,5150
3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,26,20,7200
4,4,1,5,4,4,3,3,6,1,4,4,5,1,5,3,3,2,2,6,4,5,5,6,4,3,6,1,1,1,7,8,6200
1,6,1,6,6,4,3,1,3,3,3,1,6,3,3,4,3,4,4,1,3,1,1,1,1,3,4,6,4,4,4,10,6200
2,3,3,2,2,2,2,2,1,3,1,1,1,3,2,2,2,2,1,2,1,1,2,1,2,1,1,3,2,3,18,24,7200
6,5,2,2,3,4,2,2,1,2,4,1,6,4,5,3,3,6,6,1,6,5,3,5,5,3,5,5,6,5,6,0,4100
4,2,5,2,3,1,3,5,3,3,3,4,1,2,6,3,1,5,4,3,4,5,1,5,4,2,2,4,2,5,28,29,4100
6,3,5,5,2,4,6,4,2,6,1,1,6,6,4,5,4,1,3,5,5,3,6,4,4,6,4,6,2,6,14,13,5150
2,1,2,3,4,3,3,4,4,6,4,5,6,5,5,4,6,6,1,3,6,6,6,3,1,2,2,2,1,3,27,26,4100
1,2,2,5,6,6,6,6,4,6,5,1,1,6,1,6,1,4,5,5,5,1,2,5,2,1,4,3,4,3,11,17,4200
6,1,6,3,5,6,6,3,4,2,5,2,4,1,5,5,5,4,3,6,2,5,5,1,3,2,1,6,5,3,13,14,3150
3,3,6,4,3,4,2,2,6,3,2,2,2,3,3,4,6,4,6,3,6,3,4,2,2,3,4,4,6,4,21,27,6250
5,3,3,1,3,4,3,2,5,6,6,1,2,3,1,6,5,3,6,2,1,5,1,1,2,2,5,5,6,3,9,8,5250
2,6,2,4,2,6,3,3,4,4,4,1,3,3,1,1,5,5,3,4,3,4,3,4,5,3,4,1,6,3,18,12,4200
5,1,1,1,1,5,1,1,5,1,5,5,5,1,5,1,1,1,1,1,1,5,5,5,1,5,5,1,5,1,21,20,7200
5,6,2,6,2,2,3,2,4,4,2,4,4,5,3,6,2,6,4,6,4,1,3,1,4,4,6,4,3,1,29,23,5150
6,5,2,4,2,6,4,5,3,6,6,1,3,5,6,6,2,6,5,6,4,5,6,4,4,3,3,5,6,2,1,7,5150
6,2,4,5,5,6,6,5,5,4,2,4,5,4,6,4,4,6,4,6,6,6,2,6,4,2,5,4,2,5,20,21,7200
1,2,2,1,3,2,3,2,3,2,3,1,3,3,1,1,3,3,3,1,3,2,1,1,2,3,1,2,2,3,13,14,7350
4,2,2,2,2,4,2,4,4,2,2,4,4,4,2,4,4,4,2,4,4,2,2,2,4,4,4,2,4,2,10,4,8200
