orb0,orb1,orb2,orb3,orb4,orb5,orb6,orb7,orb8,orb9,orb10,orb11,orb12,orb13,orb14,orb15,orb16,orb17,orb18,orb19,orb20,orb21,orb22,orb23,orb24,orb25,orb26,orb27,orb28,orb29,prev,curr,score
5,4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,4,5,4,5,4,5,4,4,4,5,4,5,5,4,8,2,5200
2,4,1,6,5,4,4,2,5,2,2,4,5,4,5,1,2,4,5,1,4,2,3,1,3,5,1,3,4,1,2,1,5150
2,2,3,2,2,3,2,2,3,2,2,3,2,3,2,2,3,2,3,3,2,3,3,3,2,2,3,3,2,3,22,16,8250
1,1,2,1,3,3,2,4,1,1,6,2,3,3,2,1,2,2,3,4,1,6,6,3,1,1,2,6,5,4,-1,8,7050
1,1,4,2,1,4,1,1,2,4,6,2,6,3,2,1,2,1,3,1,3,6,4,6,3,1,1,6,3,1,24,18,6200
2,3,2,2,5,5,2,5,6,4,2,1,4,6,1,1,5,2,2,6,5,1,1,1,6,2,5,1,6,6,7,8,5150
3,2,3,3,3,3,3,2,3,3,2,3,3,3,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,26,20,7200
4,4,1,5,4,4,3,3,6,1,4,4,5,1,5,3,3,2,2,6,4,5,5,6,4,3,6,1,1,1,7,8,6200
1,6,1,6,6,4,3,1,3,3,3,1,6,3,3,4,3,4,4,1,3,1,1,1,1,3,4,6,4,4,4,10,6200
2,3,3,2,2,2,2,2,1,3,1,1,1,3,2,2,2,2,1,2,1,1,2,1,2,1,1,3,2,3,18,24,7200
6,5,2,2,3,4,2,2,1,2,4,1,6,4,5,3,3,6,6,1,6,5,3,5,5,3,5,5,6,5,6,0,4100
4,2,5,2,3,1,3,5,3,3,3,4,1,2,6,3,1,5,4,3,4,5,1,5,4,2,2,4,2,5,28,29,4100
6,3,5,5,2,4,6,4,2,6,1,1,6,6,4,5,4,1,3,5,5,3,6,4,4,6,4,6,2,6,14,13,5150
2,1,2,3,4,3,3,4,4,6,4,5,6,5,5,4,6,6,1,3,6,6,6,3,1,2,2,2,1,3,27,26,4100
1,2,2,5,6,6,6,6,4,6,5,1,1,6,1,6,1,4,5,5,5,1,2,5,2,1,4,3,4,3,11,17,4200
6,1,6,3,5,6,6,3,4,2,5,2,4,1,5,5,5,4,3,6,2,5,5,1,3,2,1,6,5,3,13,14,3150
3,3,6,4,3,4,2,2,6,3,2,2,2,3,3,4,6,4,6,3,6,3,4,2,2,3,4,4,6,4,21,27,6250
5,3,3,1,3,4,3,2,5,6,6,1,2,3,1,6,5,3,6,2,1,5,1,1,2,2,5,5,6,3,9,8,5250
2,6,2,4,2,6,3,3,4,4,4,1,3,3,1,1,5,5,3,4,3,4,3,4,5,3,4,1,6,3,18,12,4200
5,1,1,1,1,5,1,1,5,1,5,5,5,1,5,1,1,1,1,1,1,5,5,5,1,5,5,1,5,1,21,20,7200
5,6,2,6,2,2,3,2,4,4,2,4,4,5,3,6,2,6,4,6,4,1,3,1,4,4,6,4,3,1,29,23,5150
6,5,2,4,2,6,4,5,3,6,6,1,3,5,6,6,2,6,5,6,4,5,6,4,4,3,3,5,6,2,1,7,5150
6,2,4,5,5,6,6,5,5,4,2,4,5,4,6,4,4,6,4,6,6,6,2,6,4,2,5,4,2,5,20,21,7200
1,2,2,1,3,2,3,2,3,2,3,1,3,3,1,1,3,3,3,1,3,2,1,1,2,3,1,2,2,3,13,14,7350
4,2,2,2,2,4,2,4,4,2,2,4,4,4,2,4,4,4,2,4,4,2,2,2,4,4,4,2,4,2,10,4,8200
4,3,6,3,3,5,2,5,4,4,3,6,4,3,3,4,4,6,1,3,6,3,2,2,2,2,1,4,4,2,7,1,4150
6,3,4,6,6,3,5,3,3,1,6,5,3,6,4,6,1,1,3,5,4,6,3,6,3,3,4,1,4,3,21,15,6150
6,4,6,3,1,6,4,6,3,3,3,1,4,6,1,3,3,1,4,1,3,6,4,6,4,6,3,3,6,6,22,16,7200
1,1,5,1,5,4,1,2,2,6,2,1,1,6,5,6,2,5,6,6,2,2,1,6,1,5,2,1,2,6,7,6,5100
5,6,2,3,6,1,5,5,1,3,5,4,1,1,1,4,3,1,2,3,2,2,1,6,1,3,1,5,4,4,12,6,4200
5,3,2,4,6,3,5,5,3,1,5,5,1,2,1,5,3,5,1,6,6,2,5,3,1,1,3,6,5,3,14,20,5100
5,1,3,2,4,1,4,2,1,3,6,4,1,3,6,6,4,3,3,4,2,3,2,1,1,2,6,1,5,2,4,5,3150
2,3,4,2,6,6,1,4,6,3,3,5,2,1,5,1,3,2,4,4,1,2,3,6,3,5,3,2,2,1,19,18,4150
2,3,4,5,6,4,1,1,2,6,2,2,1,5,5,1,5,2,3,1,5,2,3,5,3,5,2,4,6,5,4,10,4150
2,2,5,4,1,5,4,2,1,2,6,5,4,1,1,2,2,1,6,3,1,6,2,4,1,3,5,3,3,2,5,11,4200
4,4,4,4,2,2,6,6,6,6,6,4,6,2,2,6,6,6,6,6,6,2,4,6,6,6,4,2,6,4,9,10,7200
2,6,4,5,2,2,5,6,6,1,4,3,2,1,2,3,5,1,2,3,3,6,6,2,6,2,1,4,3,3,25,19,3150
6,6,5,5,2,6,6,3,3,3,2,6,1,6,4,5,3,2,4,4,3,5,6,5,2,6,6,3,6,5,19,20,7100
3,3,2,2,3,3,6,3,2,3,3,1,6,2,2,5,1,1,2,4,1,2,2,6,4,2,5,5,1,3,13,12,4100
2,2,2,2,2,5,4,2,4,2,4,5,2,5,5,2,5,4,4,5,2,4,4,4,2,4,2,2,5,2,29,23,7150
1,1,5,1,5,2,1,1,2,5,1,6,5,5,1,1,2,1,5,5,5,6,2,6,2,5,2,5,2,6,27,21,7300
1,5,1,5,4,4,2,5,6,1,6,2,2,2,6,3,6,3,6,4,6,3,6,6,3,2,6,4,1,3,26,25,5050
5,3,5,2,6,3,3,5,3,2,3,5,2,3,3,5,3,6,5,5,2,2,3,5,3,2,3,2,6,3,23,17,5200
1,5,2,5,3,4,2,3,1,4,3,1,3,2,2,3,4,4,1,5,2,6,3,3,1,2,4,6,3,1,9,3,5150
2,6,6,6,1,6,2,2,1,2,6,6,6,6,6,2,2,1,1,2,2,1,6,2,6,1,6,1,2,2,1,0,6200
6,1,6,4,2,1,6,2,3,1,1,1,1,2,2,2,2,5,5,2,3,2,1,6,2,4,1,1,3,5,20,21,5150
6,5,5,5,6,5,4,2,5,1,5,3,3,3,5,2,4,5,4,6,4,3,2,2,4,6,3,1,5,1,7,6,5100
3,1,3,2,6,6,3,6,1,2,1,3,6,1,2,3,6,6,3,6,2,1,3,1,3,3,2,1,6,6,5,4,7150
5,2,5,4,5,4,2,6,6,6,5,6,2,4,5,4,4,6,4,2,6,2,6,4,2,4,5,5,4,5,15,9,6250
1,1,1,3,3,3,1,3,1,3,1,1,3,1,1,3,1,1,3,1,3,1,1,3,1,3,1,3,1,1,22,28,7150
2,5,4,2,2,2,2,1,4,6,4,3,3,5,4,4,1,4,4,6,1,6,6,5,4,6,3,3,2,4,4,3,5200
2,3,6,5,4,5,5,4,1,5,5,4,2,3,5,2,2,6,4,6,2,6,1,4,3,3,4,2,4,3,18,19,5100
1,3,6,6,1,1,6,4,4,1,3,1,4,6,4,4,3,3,6,4,3,4,4,4,4,1,1,4,3,6,13,12,6200
6,6,1,4,2,1,2,2,4,6,6,4,6,2,6,4,6,4,4,2,2,6,4,1,3,4,4,4,3,1,23,22,6150
6,6,4,4,4,6,4,6,4,4,4,6,6,4,4,4,4,4,4,6,4,4,6,6,4,4,6,6,4,6,25,24,5200
3,3,5,2,3,4,1,3,5,6,5,5,5,5,4,6,2,1,2,2,1,2,4,2,1,5,2,4,6,6,20,14,6100
4,2,5,4,4,6,6,2,6,4,1,6,3,2,2,1,3,6,2,3,5,4,4,3,6,5,4,6,1,5,-1,17,5200
3,6,6,5,6,3,5,1,4,3,1,3,1,3,6,1,1,2,1,6,1,4,3,3,5,5,6,5,4,2,28,29,4100
2,4,1,2,1,5,2,2,4,3,4,3,2,2,2,4,4,6,6,2,6,4,4,4,2,6,2,4,2,1,15,21,5150
1,4,4,4,3,2,2,3,6,4,4,5,4,6,2,4,6,4,2,4,3,6,4,2,4,4,1,5,4,2,13,14,5200
3,4,6,4,4,1,4,4,1,5,6,6,1,6,4,1,1,1,4,4,3,6,5,1,4,3,5,4,1,6,7,8,5150
2,5,2,1,3,5,2,1,3,3,6,1,1,1,2,5,1,3,3,5,2,3,5,3,6,6,3,6,3,5,29,23,4150
5,6,6,1,5,1,6,5,4,3,1,3,6,1,3,5,5,1,1,5,4,5,3,5,5,4,6,1,3,4,21,27,6200
4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,5,4,5,5,5,5,10,16,7150
3,4,1,6,3,6,3,1,5,5,5,1,1,1,4,2,6,4,2,6,6,6,6,6,1,4,3,6,4,5,3,4,5150
2,6,6,1,1,5,1,2,4,1,5,5,4,1,3,3,4,4,6,2,5,4,3,1,1,4,3,4,6,4,12,6,5150
1,3,5,5,1,1,3,5,5,5,1,5,5,3,3,5,5,1,1,1,1,3,1,3,3,5,1,3,5,3,21,27,7200
2,2,4,2,4,4,4,4,2,4,2,2,2,2,2,4,2,2,4,2,2,2,4,2,4,4,4,2,2,4,8,2,8250
3,2,1,6,6,6,2,1,2,6,3,5,4,3,4,2,5,4,2,4,4,1,4,4,2,4,4,4,1,1,12,6,7100
4,4,4,1,6,6,6,4,4,1,2,1,3,2,2,1,1,4,1,6,3,4,6,6,1,6,5,1,3,5,12,6,5050
6,1,4,2,3,6,3,2,6,2,1,1,1,2,1,1,2,2,2,2,6,4,3,1,1,1,4,1,1,2,14,20,5200
4,5,4,4,5,4,4,5,5,5,4,4,4,4,5,5,4,4,4,4,5,4,4,5,5,5,5,4,5,5,-1,17,8250
2,5,6,2,5,1,6,1,5,2,1,5,6,6,6,2,1,6,2,1,1,2,1,2,5,2,2,2,5,2,16,17,6100
2,4,3,3,3,5,6,2,2,6,6,3,5,5,6,5,2,4,2,4,6,2,6,2,5,5,5,2,5,2,29,28,6200
2,2,4,3,3,3,2,6,3,3,2,4,6,6,4,2,6,2,4,6,6,3,6,4,6,4,3,3,3,3,26,27,7200
6,5,6,6,2,5,2,2,6,5,2,6,5,2,6,6,2,5,6,6,2,5,5,5,6,5,6,2,6,2,21,27,7150
6,6,2,4,6,3,1,2,3,6,3,4,6,1,1,4,3,2,2,5,3,6,6,2,2,1,2,6,3,3,8,2,4200
4,1,4,2,4,2,2,3,3,4,3,3,2,2,4,2,3,2,4,4,1,1,1,4,3,2,4,4,1,4,21,22,6250
6,2,5,5,4,1,5,4,1,5,6,3,2,5,6,2,5,3,3,3,4,6,6,4,3,1,1,1,3,6,9,8,5100
3,4,5,2,3,5,4,4,4,4,2,5,4,2,3,2,5,5,1,1,1,1,3,4,3,3,2,3,2,3,10,11,6150
3,3,3,4,2,4,4,5,1,5,5,5,4,3,6,4,3,1,2,6,4,3,2,6,3,6,6,1,1,5,24,25,5150
3,2,3,4,1,1,5,5,5,5,5,1,5,1,4,6,4,2,3,4,1,6,2,6,5,4,5,3,4,3,20,26,4150
6,1,1,6,6,1,1,1,6,1,6,1,1,6,6,6,1,1,6,1,1,1,1,1,6,1,1,1,1,6,26,27,7200
5,5,4,2,4,3,2,3,3,4,4,4,2,2,2,2,2,4,2,4,3,5,5,4,2,3,3,5,4,3,17,23,6200
6,6,1,2,6,3,2,6,5,4,4,1,4,6,5,4,4,5,3,5,6,2,2,1,1,4,1,3,2,2,19,25,5200
2,3,1,3,3,6,1,3,6,6,4,4,5,4,1,6,1,4,2,3,2,1,4,1,3,4,2,3,3,4,0,6,5150
2,4,1,6,1,2,1,4,3,2,2,6,5,5,1,2,2,4,2,1,4,5,3,4,6,4,1,6,3,1,5,4,5100
4,4,3,4,3,2,4,4,3,2,1,4,1,2,3,3,1,4,1,4,2,1,3,4,2,3,1,3,2,2,20,26,7250
4,3,3,6,6,2,1,6,4,1,4,2,3,6,6,1,6,2,5,5,4,3,4,6,5,6,3,1,2,6,9,10,7150
3,2,3,2,2,5,4,2,4,5,1,4,3,4,5,2,3,4,5,1,2,3,2,3,2,5,6,6,5,5,26,27,4150
3,4,4,5,3,3,2,5,2,5,2,5,3,4,4,5,3,4,3,6,4,4,3,6,2,2,3,4,5,2,25,24,5050
1,4,4,6,4,5,1,3,1,4,3,5,5,5,1,5,6,3,2,4,4,4,1,6,6,5,2,3,5,1,0,6,5200
5,2,3,3,4,4,5,1,2,5,6,1,5,4,5,5,6,3,2,4,6,4,2,1,2,6,1,6,4,4,10,16,5150
6,5,3,1,1,6,1,5,6,6,1,1,6,4,5,5,4,2,1,3,6,4,2,3,6,4,4,1,2,5,-1,17,4150
2,1,1,2,6,1,1,1,2,2,1,1,6,2,6,2,1,2,1,6,6,6,2,6,2,1,2,6,6,1,25,26,6200
6,2,4,4,4,2,5,4,6,4,6,1,5,6,2,3,2,6,6,3,1,1,2,4,2,2,4,1,2,5,18,12,5100
4,4,3,4,3,4,5,3,4,3,4,6,4,3,3,5,4,5,6,3,4,6,3,5,4,6,3,5,3,5,1,0,6200
5,2,4,5,5,1,2,1,1,6,6,1,4,4,1,2,3,4,2,3,1,2,4,3,4,5,1,5,1,5,8,7,4200
1,5,1,4,4,3,2,5,4,4,2,6,3,3,3,4,6,2,6,5,3,6,4,4,2,5,5,1,2,5,6,12,6150
6,4,6,6,2,6,6,3,5,5,2,3,3,2,6,2,3,1,3,3,5,4,2,4,2,6,1,1,3,1,25,26,3150
1,3,2,4,3,5,4,4,4,4,1,5,6,4,1,6,6,4,5,3,1,2,2,4,1,2,3,3,5,2,20,14,4200
5,3,5,4,4,5,3,1,5,4,3,2,4,4,1,1,2,1,4,4,2,1,3,6,4,3,6,5,4,4,13,12,4100
6,6,4,5,6,6,6,4,6,5,4,4,4,5,4,6,6,5,5,6,4,6,6,4,5,5,4,6,4,6,29,23,6250
5,1,6,5,6,6,1,4,1,5,4,5,2,4,1,1,2,6,1,5,2,2,4,6,2,4,3,5,2,3,28,22,5200
5,6,4,6,6,1,2,2,1,5,4,2,1,2,4,2,5,5,1,6,3,3,2,2,1,6,6,1,1,5,-1,15,6200
6,6,6,4,6,6,4,4,4,6,6,6,6,4,6,4,4,4,6,6,4,4,4,6,6,4,6,6,6,4,1,0,8200
3,3,3,3,2,2,3,4,3,5,2,4,5,4,5,3,4,2,3,5,2,5,5,4,5,5,4,3,5,5,16,15,5150
4,3,4,4,2,3,2,6,2,3,4,6,3,3,3,4,4,3,4,2,3,4,6,6,4,6,6,3,2,4,23,17,6150
3,3,5,3,2,3,5,3,5,3,5,2,5,5,2,2,3,3,2,2,5,2,5,3,2,5,2,3,3,3,21,27,7200
3,4,2,6,6,1,2,6,3,1,5,6,1,2,6,2,4,1,1,2,6,4,6,1,6,4,6,4,2,1,9,8,6150
6,5,3,5,1,6,6,6,5,5,4,1,3,4,1,1,5,3,6,1,3,6,3,3,3,6,4,3,5,3,7,8,5150
4,6,1,5,4,3,3,1,4,4,4,3,3,2,3,2,1,4,5,2,5,4,5,4,4,5,3,1,2,5,21,27,4150
3,4,3,2,1,4,4,6,2,6,6,2,1,1,3,4,2,2,6,4,1,6,4,4,2,3,4,6,6,2,19,18,5200
5,3,1,1,5,6,3,4,2,1,1,1,5,6,2,2,4,2,6,4,1,5,2,4,5,4,1,6,3,3,2,3,4150
2,3,2,3,6,6,2,3,3,2,6,3,2,6,6,3,2,6,6,6,3,6,3,6,3,2,6,2,3,3,25,26,7200
6,3,6,6,1,3,2,2,5,5,3,2,5,5,2,6,6,1,3,6,3,3,2,6,3,6,2,2,6,2,4,5,5200
2,4,1,2,5,6,5,2,1,2,2,4,6,5,1,6,6,4,6,2,6,5,2,6,4,6,5,2,4,6,4,3,5150
2,6,3,3,4,5,3,3,5,2,1,1,1,2,4,4,5,3,3,1,4,2,4,4,2,5,5,2,4,4,10,11,5150
1,5,5,5,5,5,5,1,5,5,5,1,1,1,1,5,5,5,1,5,1,1,1,5,5,1,5,1,1,1,3,2,6150
2,6,2,5,4,1,2,3,4,2,3,2,1,1,3,1,4,2,2,2,6,6,5,2,3,1,2,1,1,3,21,20,5150
4,1,1,4,4,3,3,6,6,6,4,1,6,3,3,6,3,1,3,4,1,1,1,1,1,4,6,3,3,1,7,6,6200
6,3,2,2,2,6,2,6,3,4,3,2,4,5,5,2,4,4,2,6,5,2,6,6,3,4,4,3,4,3,25,24,5150
4,2,6,3,1,3,2,4,6,3,4,2,4,6,5,6,3,5,2,4,3,6,3,3,5,4,6,6,3,4,19,25,5200
5,4,4,4,4,2,4,2,1,6,1,5,4,5,6,2,4,5,5,1,4,5,5,5,6,5,5,5,1,5,0,6,5150
4,1,6,2,3,5,3,5,5,3,6,1,4,3,3,4,6,5,5,4,4,2,2,6,6,5,3,3,3,5,3,4,6200
3,4,4,5,3,5,3,5,5,6,6,1,6,3,1,4,6,6,5,6,5,4,2,1,1,2,6,1,6,5,8,14,5100
3,5,3,4,3,3,4,1,1,3,5,4,1,5,1,4,4,6,2,6,1,3,4,4,5,6,6,4,5,5,10,4,5200
4,2,3,5,5,3,3,3,4,4,5,2,5,3,1,4,1,1,2,5,3,2,5,2,5,1,1,3,1,3,18,19,5200
3,5,1,3,2,1,4,2,2,3,2,2,2,1,5,6,1,4,5,6,3,5,3,4,2,5,3,4,2,6,15,14,3150
1,2,5,5,1,1,2,1,2,2,2,6,2,1,1,6,2,1,1,6,5,5,2,2,5,1,6,6,1,6,16,15,7150
2,5,5,5,5,1,1,4,6,1,4,5,2,2,1,5,5,1,1,6,4,4,6,4,5,6,4,4,2,5,8,9,6150
2,6,3,5,3,6,3,5,4,1,2,6,3,3,6,1,5,5,5,5,2,3,2,3,2,3,4,1,2,3,10,4,4100
4,3,3,3,4,4,3,3,3,3,4,4,4,4,3,4,3,3,4,3,4,4,3,3,3,4,4,4,4,4,14,20,8250
5,3,4,5,5,3,4,3,4,5,4,4,4,5,5,4,3,3,4,3,5,5,5,3,5,4,4,5,3,4,5,11,7200
5,6,4,3,1,3,5,6,1,5,4,5,4,4,6,5,1,1,5,1,6,3,5,3,5,2,6,3,3,4,5,11,5150
1,6,1,3,3,1,6,3,1,1,3,3,3,6,1,3,3,3,6,6,3,1,6,6,6,1,3,3,1,6,5,4,6200
5,4,4,4,4,5,4,4,5,5,5,4,5,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,5,5,25,19,8200
6,6,1,3,3,3,2,3,3,2,4,2,3,4,1,6,3,5,2,4,2,5,1,3,6,5,1,2,1,4,21,20,4150
5,2,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,2,5,5,2,2,5,5,2,5,2,5,2,1,0,7100
2,3,5,6,6,4,4,4,2,2,6,2,6,4,4,3,2,5,4,2,4,2,1,4,2,5,1,2,3,4,1,7,5100
5,1,3,5,2,2,2,3,1,2,3,2,3,5,2,3,2,1,3,3,3,1,3,1,2,3,5,2,5,5,20,26,6200
4,2,1,3,1,3,4,4,4,4,5,5,5,3,5,4,1,3,6,1,6,3,3,6,6,3,4,2,1,4,22,23,4150
3,6,5,2,5,3,5,6,4,6,3,3,3,5,1,5,1,1,3,2,4,6,2,4,6,6,2,6,4,5,4,5,4150
5,1,4,1,5,3,1,4,3,4,3,3,5,5,5,5,4,3,5,1,4,5,3,3,1,3,1,3,3,5,29,23,6200
2,4,5,2,2,2,6,4,2,4,4,1,1,5,4,3,4,6,3,3,6,4,3,4,3,1,4,2,5,5,10,16,5100
2,1,3,3,3,1,3,1,3,3,3,3,1,5,1,5,2,1,1,2,3,3,1,1,5,5,5,2,2,1,21,15,7200
3,1,4,6,1,5,6,5,1,6,1,6,1,3,6,4,2,6,6,6,3,6,3,4,2,1,2,5,6,3,28,22,4200
5,3,3,3,6,6,2,3,2,6,1,3,1,4,4,3,6,5,6,3,5,3,1,1,6,3,4,1,2,5,3,4,4150
3,3,6,6,1,1,1,5,3,5,2,3,6,6,1,5,4,1,1,6,2,5,1,1,6,3,3,6,5,3,10,16,5150
5,2,3,3,1,2,5,5,1,5,6,6,6,5,5,2,1,6,3,6,6,5,2,3,4,2,4,3,6,2,23,17,4150
2,4,1,1,6,6,4,4,5,2,3,5,1,1,3,5,3,4,3,4,6,6,4,2,1,2,2,2,6,2,11,10,7150
1,4,4,4,1,4,4,3,1,1,3,1,3,3,3,1,4,4,1,1,4,4,4,4,4,3,4,4,4,4,1,7,6200
3,3,3,1,3,3,3,3,1,3,1,3,3,1,1,1,1,1,1,1,3,1,3,3,3,3,3,1,1,1,17,16,8200
6,3,2,3,3,2,2,3,3,5,1,5,3,1,2,6,1,3,6,5,6,5,1,3,6,6,6,3,4,1,4,3,5150
6,5,1,1,6,5,5,1,1,5,6,6,1,1,1,1,6,6,6,6,5,5,1,6,5,6,6,1,5,1,22,23,7250
6,6,1,4,1,4,6,3,3,2,1,6,6,6,6,1,1,5,3,3,2,3,4,5,2,4,4,3,4,1,4,10,5200
3,6,1,2,6,6,6,3,2,4,2,5,6,2,4,4,4,2,3,2,2,1,4,4,4,5,3,5,1,4,20,26,6100
3,1,5,4,2,2,2,4,4,5,2,2,2,2,1,5,2,3,2,1,4,2,4,4,5,5,2,1,3,1,5,11,5150
5,2,2,6,4,5,5,6,3,2,5,3,6,4,1,2,5,1,2,1,3,5,3,2,6,5,2,2,5,4,14,8,4150
6,4,4,1,1,2,5,4,5,3,3,3,5,1,2,5,3,1,3,6,1,3,1,1,5,1,2,1,2,1,2,8,6200
4,5,4,5,1,2,5,3,3,1,4,4,5,4,4,5,1,3,2,5,5,3,3,4,5,2,5,1,3,2,27,28,6100
3,1,4,4,1,1,5,4,1,2,3,6,6,1,3,3,2,3,2,4,6,2,5,3,2,1,4,2,1,1,19,20,4100
6,6,3,3,6,4,5,6,3,3,3,4,4,4,4,4,4,6,4,5,4,3,2,3,5,3,6,6,3,5,11,17,6150
3,2,3,1,6,3,3,2,4,2,1,2,4,4,1,2,5,3,2,4,5,1,5,2,3,3,2,5,3,6,19,20,5200
2,4,3,6,5,4,4,5,5,3,5,1,4,3,6,6,1,4,6,1,1,1,3,5,5,3,5,5,4,6,1,0,5100
4,1,2,6,4,4,6,3,1,5,1,5,6,5,3,2,5,4,6,6,3,1,1,3,3,3,2,2,1,5,5,4,5200
6,6,1,1,3,4,6,3,1,4,4,1,6,6,6,1,1,6,6,4,6,4,6,6,4,6,1,1,1,6,9,15,8250
2,1,3,1,2,3,5,2,1,3,2,2,3,5,1,1,3,2,3,5,3,3,1,2,5,5,2,1,2,3,7,13,8200
4,4,2,5,3,5,2,5,1,3,5,4,2,1,4,2,1,2,4,4,1,1,1,1,2,3,1,2,1,4,22,28,5200
5,4,4,6,3,1,1,4,3,6,4,2,5,4,1,1,1,5,5,5,4,5,6,6,6,6,6,5,4,4,0,1,7150
4,5,5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,5,4,4,5,5,4,4,4,5,5,4,5,5,23,17,7150
5,4,5,3,5,3,5,1,1,5,5,4,1,6,1,4,5,6,4,5,6,4,1,5,4,6,3,1,1,5,19,18,5100
1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,10,9,8200
3,4,6,1,6,6,2,6,1,3,3,1,2,2,2,5,4,6,2,2,4,5,2,2,3,5,2,5,2,4,-1,14,4150
1,4,2,5,2,5,5,1,6,4,6,1,1,5,5,4,4,3,3,6,6,1,3,6,3,3,2,1,2,2,15,14,4200
3,1,1,4,1,1,1,1,4,1,1,3,3,1,4,1,4,4,4,1,3,1,1,4,4,1,4,1,1,3,19,18,7100
4,1,1,4,1,4,1,4,4,1,4,1,1,1,1,4,4,4,1,4,1,1,1,4,4,1,1,4,4,1,3,9,8300
5,5,1,1,3,3,1,1,4,1,1,5,1,1,3,3,5,1,3,4,1,1,3,5,4,5,1,1,3,1,23,29,7150
2,4,4,5,1,3,6,6,2,4,5,2,1,1,1,4,1,5,3,2,3,1,3,5,6,2,5,4,2,2,5,11,5200
1,1,1,2,4,1,1,4,6,2,2,2,4,1,2,2,2,1,4,4,4,4,4,2,4,4,2,2,4,6,16,15,7100
4,2,2,6,4,2,6,6,2,4,2,4,2,3,1,2,4,3,2,1,6,6,4,3,1,4,2,5,1,5,4,5,5200
4,6,6,5,5,3,2,2,4,3,6,2,4,1,6,2,4,5,4,5,5,4,6,2,5,4,4,5,4,5,22,23,5150
4,5,6,1,5,4,4,5,3,5,1,6,3,6,6,4,6,4,6,5,1,6,3,6,6,5,6,3,1,6,21,27,6150
5,2,6,2,2,5,2,2,3,5,5,3,5,3,2,5,2,6,5,2,3,3,5,3,5,6,2,5,3,2,9,8,6200
1,4,4,1,1,4,1,1,1,1,1,4,4,1,4,1,1,1,4,4,4,1,4,4,4,1,4,4,4,4,13,19,8200
6,3,5,3,2,3,3,1,1,6,5,3,6,2,5,5,3,1,6,5,1,1,2,3,3,3,5,3,5,2,1,2,6200
3,3,6,4,4,5,4,4,5,3,6,4,5,4,4,5,3,3,6,4,6,5,5,6,6,4,6,6,4,5,16,17,5200
1,1,6,6,1,4,5,4,6,6,1,4,5,1,5,6,6,6,6,1,1,6,5,4,6,5,4,5,6,5,25,24,6100
5,5,5,5,4,5,4,1,2,1,4,2,2,5,4,1,4,1,1,1,5,5,1,2,5,4,1,1,5,1,0,6,7150
3,2,3,3,5,5,2,2,3,5,5,2,3,5,2,5,5,5,2,3,5,5,2,2,2,3,2,3,2,5,19,25,6250
